,longitude,latitude,full_geoid,geoid
246,-74.0125555,40.7107474,360610013005000,36061001300
247,-73.9132275,40.8423621,360050209004002,36005020900
248,-74.0147308,40.7075814,360610013001002,36061001300
249,-73.9000369,40.7407956,360810247001008,36081024700
250,-73.9059916,40.6772608,360470367002001,36047036700
251,-73.9321373,40.7872985,360610240002006,36061024000
252,-73.9012034,40.8666214,360050265001004,36005026500
253,-73.981559,40.7529277,360610084001000,36061008400
254,-73.920897,40.869877,360610297001003,36061029700
255,-73.9314262,40.6595516,360470878002000,36047087800
256,-73.9978721,40.7293265,360610055011000,36061005501
257,-73.9085561,40.7554138,360810163003001,36081016300
258,-73.9653108,40.7894129,360610143001013,36061014300
259,-73.9624777,40.6909675,360470193003000,36047019300
260,-74.0100293,40.7332334,360610075001004,36061007500
261,-74.0084719,40.7445712,360610099012002,36061009901
262,-73.9847247,40.7700115,360610145001002,36061014500
263,-74.0084598,40.7114052,360610031002010,36061003100
264,-73.9146672,40.6992698,360470441001002,36047044100
265,-73.9049256,40.7413721,360810249002003,36081024900
266,-73.9234969,40.7679887,360810071003002,36081007100
267,-74.0181578,40.7075085,360610317044000,36061031704
268,-73.9625218,40.7914578,360610143001007,36061014300
269,-73.9307794,40.8259743,360050063016007,36005006301
270,-73.9134542,40.700759,360470441001003,36047044100
271,-73.9198518,40.7704512,360810069001000,36081006900
272,-73.9038769,40.6684708,360470908003001,36047090800
273,-73.9367839,40.7490264,360810033011017,36081003301
274,-74.0140146,40.7063433,360610013003004,36061001300
275,-73.9558906,40.8088062,360610197011000,36061019701
276,-73.9682451,40.806579,360610199001003,36061019900
277,-73.9194638,40.7309824,360810205001005,36081020500
278,-74.0170665,40.7073811,360610317043008,36061031704
279,-73.9170733,40.7841509,360810103001000,36081010300
280,-74.0132522,40.6725578,360470053012018,36047005301
281,-73.9245868,40.7048242,360470427002000,36047042700
282,-73.9008727,40.7792827,360810107011001,36081010701
283,-73.957272,40.690694,360470233003001,36047023300
284,-73.9317048,40.7970517,360610192001004,36061019200
285,-74.005375,40.7207367,360610033002007,36061003300
286,-73.9813838,40.7179912,360610022014001,36061002201
